Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	
1	0.0113849	6.33037e-06	0.0113786	0	1.51251e+06	841	1.51167e+06	0	
2	0.00815712	2.17535e-06	0.00815494	0	1.08368e+06	289	1.08339e+06	0	
3	0.0123811	5.08838e-06	0.012376	0	1.64485e+06	676	1.64417e+06	0	
4	0.00944264	3.01087e-06	0.00943963	0	1.25447e+06	400	1.25407e+06	0	
5	0.0082224	2.43881e-06	0.00821996	0	1.09235e+06	324	1.09203e+06	0	
6	0.0465715	0.000110205	0.0464613	0	6.1871e+06	14641	6.17246e+06	0	
7	0.0112196	4.33566e-06	0.0112152	0	1.49054e+06	576	1.48996e+06	0	
8	0.0118741	5.48732e-06	0.0118686	0	1.5775e+06	729	1.57677e+06	0	
9	0.0211581	1.66275e-05	0.0211415	0	2.81089e+06	2209	2.80868e+06	0	
10	0.0108134	5.48732e-06	0.0108079	0	1.43658e+06	729	1.43585e+06	0	
11	0.00939138	3.64316e-06	0.00938774	0	1.24766e+06	484	1.24717e+06	0	
12	0.0279626	3.37895e-05	0.0279288	0	3.71488e+06	4489	3.71039e+06	0	
13	0.014155	9.22081e-06	0.0141458	0	1.88052e+06	1225	1.8793e+06	0	
14	0.0273802	3.58369e-05	0.0273443	0	3.6375e+06	4761	3.63274e+06	0	
15	0.00962021	2.71731e-06	0.00961749	0	1.27806e+06	361	1.27769e+06	0	
16	0.00561559	1.92696e-06	0.00561366	0	746040	256	745784	0	
17	0.00720611	2.43881e-06	0.00720368	0	957344	324	957020	0	
18	0.00781914	2.43881e-06	0.00781671	0	1.03878e+06	324	1.03846e+06	0	
19	0.00561534	1.92696e-06	0.00561342	0	746007	256	745751	0	
20	0.0383112	7.52719e-05	0.0382359	0	5.0897e+06	10000	5.0797e+06	0	
21	0.00637845	8.70143e-06	0.00636975	0	847388	1156	846232	0	
22	0.00662399	1.69361e-06	0.00662229	0	880008	225	879783	0	
23	0.0517218	0.000143347	0.0515785	0	6.87133e+06	19044	6.85228e+06	0	
24	0.00438548	3.98188e-06	0.0043815	0	582618	529	582089	0	
25	0.00566901	1.92696e-06	0.00566708	0	753137	256	752881	0	
26	0.028112	4.57954e-05	0.0280662	0	3.73472e+06	6084	3.72864e+06	0	
27	0.00333464	2.17535e-06	0.00333247	0	443013	289	442724	0	
28	0.0177755	6.09702e-05	0.0177146	0	2.36151e+06	8100	2.35341e+06	0	
29	0.00532761	1.69361e-06	0.00532592	0	707782	225	707557	0	
30	0.041164	0.000304106	0.0408599	0	5.4687e+06	40401	5.4283e+06	0	
31	0.0227851	3.27884e-05	0.0227523	0	3.02704e+06	4356	3.02269e+06	0	
32	0.00362087	2.43881e-06	0.00361843	0	481038	324	480714	0	
33	0.00590071	2.17535e-06	0.00589854	0	783920	289	783631	0	
34	0.0207861	2.62021e-05	0.0207599	0	2.76147e+06	3481	2.75799e+06	0	
35	0.00593772	5.90132e-06	0.00593182	0	788836	784	788052	0	
