Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	
1	0.10656	5.00311e-05	0.105891	0.000618112	4.12344e+06	1936	4.09757e+06	23918.4	
2	0.0480223	6.61569e-06	0.0479658	4.96707e-05	1.85826e+06	256	1.85608e+06	1922.05	
4	0.0868201	2.17335e-05	0.0867978	2.2083e-07	3.35958e+06	841	3.35872e+06	8.54521	
5	0.0847801	0.000186712	0.0845934	0	3.28064e+06	7225	3.27341e+06	0	
7	0.140134	5.70861e-05	0.140077	0	5.42264e+06	2209	5.42043e+06	0	
8	0.278709	0.000223512	0.278484	1.91208e-06	1.07849e+07	8649	1.07761e+07	73.9899	
9	1.56906	0.00720448	1.56182	3.90036e-05	6.07165e+07	278784	6.04362e+07	1509.28	
10	0.40143	0.00047098	0.400891	6.74301e-05	1.55336e+07	18225	1.55128e+07	2609.27	
11	2.78971	0.0226405	2.76687	0.000206629	1.0795e+08	876096	1.07066e+08	7995.69	
13	0.0537075	8.37298e-06	0.0536988	6.07019e-09	2.07825e+06	324	2.07792e+06	0.234891	
14	0.0776598	1.74695e-05	0.0776388	3.27323e-06	3.00511e+06	676	3.0043e+06	126.66	
15	0.147834	6.46063e-05	0.147759	1.01998e-05	5.72059e+06	2500	5.71769e+06	394.69	
16	0.0731523	1.61515e-05	0.0731313	4.62775e-06	2.83069e+06	625	2.82988e+06	179.075	
17	0.18413	9.93387e-05	0.184031	0	7.1251e+06	3844	7.12126e+06	0	
18	0.0742819	1.61515e-05	0.074265	5.02074e-07	2.8744e+06	625	2.87375e+06	19.4282	
19	0.276267	0.000223512	0.276043	1.15959e-07	1.06904e+07	8649	1.06817e+07	4.48717	
20	0.0436299	5.81457e-06	0.0435422	8.16604e-05	1.6883e+06	225	1.6849e+06	3159.92	
21	0.0534799	8.37298e-06	0.0534386	3.26405e-05	2.06945e+06	324	2.06785e+06	1263.05	
22	0.0590511	1.0337e-05	0.0590407	0	2.28503e+06	400	2.28463e+06	0	
23	0.0696524	1.48853e-05	0.0696373	0	2.69526e+06	576	2.69468e+06	0	
25	0.0755755	1.74695e-05	0.0755561	1.72239e-06	2.92446e+06	676	2.92371e+06	66.6497	
28	0.0819188	2.02605e-05	0.0818985	0	3.16992e+06	784	3.16913e+06	0	
29	0.111693	3.73166e-05	0.111655	1.07504e-06	4.32209e+06	1444	4.32059e+06	41.5997	
30	0.0961388	2.64627e-05	0.0961111	1.02997e-06	3.72017e+06	1024	3.7191e+06	39.8558	
31	18.1594	1.06148	17.0979	2.98097e-06	7.02695e+08	4.10752e+07	6.6162e+08	115.351	
32	0.128514	4.77828e-05	0.128466	0	4.97299e+06	1849	4.97113e+06	0	
33	0.0678276	1.36707e-05	0.0678121	1.64697e-06	2.62465e+06	529	2.62404e+06	63.7311	
34	0.0629404	1.13965e-05	0.062929	0	2.43553e+06	441	2.43509e+06	0	
35	0.227761	0.000161283	0.227594	5.39797e-06	8.81342e+06	6241	8.80696e+06	208.879	
36	0.112797	3.73166e-05	0.11276	2.48838e-08	4.36481e+06	1444	4.36335e+06	0.962903	
37	0.0759716	1.74695e-05	0.0759528	1.04189e-06	2.93978e+06	676	2.93906e+06	40.3168	
39	0.151087	0.000678211	0.150409	0	5.84647e+06	26244	5.82022e+06	0	
42	0.0478313	6.61569e-06	0.0477912	3.32199e-05	1.85087e+06	256	1.84932e+06	1285.47	
43	0.0504314	7.46849e-06	0.0503476	7.59834e-05	1.95148e+06	289	1.94824e+06	2940.24	
44	0.101229	3.16571e-05	0.101192	4.76517e-06	3.91717e+06	1225	3.91575e+06	184.392	
46	0.0484651	7.46849e-06	0.04835	0.000107301	1.8754e+06	289	1.87094e+06	4152.13	
47	0.0404456	5.81457e-06	0.0403926	4.69163e-05	1.56507e+06	225	1.56302e+06	1815.47	
49	0.0508967	7.46849e-06	0.0508892	0	1.96949e+06	289	1.9692e+06	0	
52	0.0223022	1.74695e-05	0.0222847	0	863004	676	862328	0	
53	0.0245168	1.74695e-05	0.0244994	0	948702	676	948026	0	
54	0.148335	6.72164e-05	0.148264	3.98743e-06	5.73998e+06	2601	5.73721e+06	154.297	
55	0.0630594	1.36707e-05	0.0630456	0	2.44014e+06	529	2.4396e+06	0	
56	0.142842	6.98782e-05	0.14277	1.93666e-06	5.52742e+06	2704	5.52464e+06	74.9409	
57	0.0683754	1.61515e-05	0.068359	0	2.64584e+06	625	2.64521e+06	0	
58	0.0835674	2.17335e-05	0.0835421	3.31843e-06	3.23371e+06	841	3.23273e+06	128.409	
59	0.0520694	9.32915e-06	0.0520473	1.25415e-05	2.01487e+06	361	2.01401e+06	485.307	
60	0.216132	0.000157226	0.215961	1.4073e-05	8.36345e+06	6084	8.35681e+06	544.57	
64	6.026	0.11538	5.91041	0.000206635	2.33181e+08	4.46476e+06	2.28708e+08	7995.94	
65	0.119703	4.34413e-05	0.11957	8.93027e-05	4.63203e+06	1681	4.62689e+06	3455.64	
66	0.0568431	1.0337e-05	0.0568166	1.5921e-05	2.19959e+06	400	2.19857e+06	616.08	
67	0.0877323	2.32582e-05	0.0877091	0	3.39488e+06	900	3.39398e+06	0	
69	0.122356	4.55862e-05	0.12231	0	4.73467e+06	1764	4.73291e+06	0	
70	0.381033	0.00068661	0.380322	2.3788e-05	1.47444e+07	26569	1.47169e+07	920.501	
72	0.0491645	7.46849e-06	0.0491446	1.21518e-05	1.90246e+06	289	1.90169e+06	470.227	
73	0.121864	5.00311e-05	0.121814	0	4.71564e+06	1936	4.7137e+06	0	
74	0.201282	0.000133967	0.201105	4.27357e-05	7.78881e+06	5184	7.78196e+06	1653.69	
75	0.0452128	7.46849e-06	0.0452053	0	1.74955e+06	289	1.74926e+06	0	
76	0.147603	7.25917e-05	0.147523	7.35801e-06	5.71164e+06	2809	5.70853e+06	284.724	
78	0.308883	0.000301427	0.308549	3.26336e-05	1.19525e+07	11664	1.19395e+07	1262.78	
79	0.0571186	1.13965e-05	0.057106	9.58852e-07	2.21025e+06	441	2.20976e+06	37.1036	
81	0.0856062	2.17335e-05	0.0855845	0	3.31261e+06	841	3.31176e+06	0	
84	0.166081	9.30331e-05	0.165973	1.47512e-05	6.42667e+06	3600	6.42249e+06	570.81	
85	0.327519	0.000397354	0.327121	0	1.26736e+07	15376	1.26582e+07	0	
86	0.0847704	2.64627e-05	0.0847391	4.56631e-06	3.28026e+06	1024	3.27905e+06	176.697	
87	0.0920079	2.81425e-05	0.0919791	2.9899e-07	3.56032e+06	1089	3.55921e+06	11.5697	
88	9.95507	0.35016	9.60491	0	3.8522e+08	1.35497e+07	3.7167e+08	0	
89	0.0695868	2.32582e-05	0.0695635	0	2.69272e+06	900	2.69182e+06	0	
91	0.0850319	2.48346e-05	0.0850068	0	3.29038e+06	961	3.28941e+06	0	
94	0.586788	0.0132113	0.573577	0	2.27063e+07	511225	2.2195e+07	0	
95	0.0953107	2.98739e-05	0.0952718	8.72336e-06	3.68813e+06	1156	3.68662e+06	337.558	
97	0.073637	1.61515e-05	0.0735977	2.28739e-05	2.84945e+06	625	2.84793e+06	885.129	
98	1.75732	0.011087	1.74622	1.51055e-05	6.80012e+07	429025	6.75716e+07	584.523	
99	0.0463553	7.46849e-06	0.0463381	9.4575e-06	1.79376e+06	289	1.79309e+06	365.966	
101	0.0468207	1.0337e-05	0.0468089	1.23442e-06	1.81177e+06	400	1.81131e+06	47.767	
102	0.0595891	1.13965e-05	0.0595775	0	2.30585e+06	441	2.3054e+06	0	
103	0.212224	0.000137714	0.211741	0.000345582	8.21223e+06	5329	8.19351e+06	13372.6	
104	0.278618	0.000233228	0.278383	1.66163e-06	1.07813e+07	9025	1.07722e+07	64.2983	
105	0.0636112	1.48853e-05	0.0635883	7.76166e-06	2.46149e+06	576	2.4606e+06	300.344	
106	0.146942	7.25917e-05	0.146869	0	5.68605e+06	2809	5.68324e+06	0	
108	0.100656	3.16571e-05	0.100625	0	3.89499e+06	1225	3.89377e+06	0	
109	0.0775845	1.88392e-05	0.077545	2.04119e-05	3.0022e+06	729	3.00067e+06	789.856	
110	0.174841	9.61601e-05	0.174744	0	6.76562e+06	3721	6.7619e+06	0	
112	0.013399	7.46849e-06	0.0133915	0	518486	289	518197	0	
114	0.533163	0.00142715	0.531735	0	2.06312e+07	55225	2.05759e+07	0	
116	0.161667	0.000126628	0.161516	2.38876e-05	6.25587e+06	4900	6.25003e+06	924.352	
117	0.0667593	1.74695e-05	0.0667034	3.81289e-05	2.58331e+06	676	2.58115e+06	1475.43	
118	0.061027	1.25077e-05	0.0609991	1.50994e-05	2.36149e+06	484	2.36041e+06	584.287	
119	0.117532	4.55862e-05	0.117484	1.59599e-06	4.54801e+06	1764	4.54617e+06	61.7586	
120	0.0602563	1.13965e-05	0.0602437	9.2841e-07	2.33167e+06	441	2.33118e+06	35.9256	
121	0.0690578	2.64627e-05	0.0690313	0	2.67225e+06	1024	2.67122e+06	0	
124	0.218039	0.000145364	0.217574	0.000319779	8.43723e+06	5625	8.41922e+06	12374.1	
126	0.060682	1.74695e-05	0.0606633	9.92825e-07	2.34814e+06	676	2.34742e+06	38.4182	
127	2.99589	0.0330567	2.96282	8.86394e-06	1.15928e+08	1.27916e+06	1.14649e+08	342.998	
128	0.15966	8.10422e-05	0.159575	3.83007e-06	6.17821e+06	3136	6.17491e+06	148.208	
129	0.0711169	2.48346e-05	0.0710921	0	2.75193e+06	961	2.75097e+06	0	
130	0.135299	5.70861e-05	0.135179	6.25765e-05	5.23554e+06	2209	5.2309e+06	2421.45	
132	0.106027	3.93065e-05	0.105976	1.08602e-05	4.1028e+06	1521	4.10085e+06	420.246	
135	1.04231	0.00549199	1.03682	0	4.03334e+07	212517	4.01209e+07	0	
136	0.0503096	8.37298e-06	0.0502996	1.36129e-06	1.94677e+06	324	1.94638e+06	52.6766	
137	0.0528441	1.36707e-05	0.0528299	3.00127e-07	2.04485e+06	529	2.0443e+06	11.6137	
138	0.0656698	2.02605e-05	0.0656495	0	2.54115e+06	784	2.54036e+06	0	
139	0.543211	0.00146382	0.541748	0	2.102e+07	56644	2.09634e+07	0	
140	0.149854	7.53568e-05	0.149778	4.05097e-07	5.79874e+06	2916	5.7958e+06	15.6756	
141	0.0502452	8.37298e-06	0.0502367	0	1.94428e+06	324	1.94395e+06	0	
143	0.016612	8.37298e-06	0.0166036	0	642816	324	642492	0	
145	0.0535288	9.32915e-06	0.0533139	0.000205265	2.07134e+06	361	2.06303e+06	7942.94	
146	0.0491246	1.25077e-05	0.0491119	0	1.90092e+06	484	1.90042e+06	0	
148	0.0601308	9.30331e-05	0.0600378	0	2.32681e+06	3600	2.32321e+06	0	
