Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	
1	0.102544	4.66928e-05	0.102466	3.08177e-05	4.25174e+06	1936	4.24852e+06	1277.77	
2	0.0463603	6.17426e-06	0.0463416	1.22102e-05	1.92221e+06	256	1.92143e+06	506.266	
3	0.0255463	2.9183e-06	0.0255268	1.64033e-05	1.05921e+06	121	1.0584e+06	680.12	
4	0.0838801	2.02834e-05	0.0838593	1.95732e-07	3.47787e+06	841	3.47701e+06	8.11554	
5	0.0825985	0.000174254	0.0824242	0	3.42473e+06	7225	3.41751e+06	0	
6	0.0347484	3.47302e-06	0.0347449	0	1.44075e+06	144	1.4406e+06	0	
7	0.135387	5.32771e-05	0.135333	0	5.61348e+06	2209	5.61127e+06	0	
8	0.269292	0.000208598	0.269083	5.15452e-07	1.11655e+07	8649	1.11568e+07	21.3719	
9	1.51618	0.00672377	1.50942	3.85068e-05	6.28648e+07	278784	6.25844e+07	1596.58	
10	0.388086	0.000439554	0.387591	5.57568e-05	1.6091e+07	18225	1.60704e+07	2311.81	
11	2.69727	0.0211298	2.67606	7.21032e-05	1.11835e+08	876096	1.10956e+08	2989.57	
12	0.0308946	2.9183e-06	0.0308373	5.41244e-05	1.28096e+06	121	1.27859e+06	2244.13	
13	0.0519181	7.8143e-06	0.0519099	1.82851e-07	2.15265e+06	324	2.15231e+06	7.58146	
14	0.0750377	1.63039e-05	0.0750197	1.36209e-06	3.11124e+06	676	3.1105e+06	56.4758	
15	0.142923	6.02955e-05	0.142853	1.00181e-05	5.92596e+06	2500	5.92304e+06	415.376	
16	0.0707204	1.50738e-05	0.0707046	5.41637e-07	2.93224e+06	625	2.93158e+06	22.4576	
17	0.177926	9.27104e-05	0.177834	0	7.37728e+06	3844	7.37344e+06	0	
18	0.07177	1.50738e-05	0.0717539	6.89917e-07	2.97576e+06	625	2.97509e+06	28.6056	
19	0.266925	0.000208598	0.266716	0	1.10673e+07	8649	1.10587e+07	0	
20	0.0421708	5.42659e-06	0.0421036	6.15041e-05	1.7485e+06	225	1.74572e+06	2550.11	
21	0.051701	7.8143e-06	0.0516603	3.26873e-05	2.14365e+06	324	2.14196e+06	1355.29	
22	0.0570544	9.64728e-06	0.0570448	0	2.36561e+06	400	2.36521e+06	0	
23	0.0673495	1.3892e-05	0.0673354	0	2.79247e+06	576	2.79189e+06	0	
24	0.0403599	4.72717e-06	0.0402812	7.36734e-05	1.67342e+06	196	1.67015e+06	3054.68	
25	0.0730739	1.63039e-05	0.0730561	1.27758e-06	3.02982e+06	676	3.02908e+06	52.9719	
26	0.0363389	4.07597e-06	0.0363348	0	1.5067e+06	169	1.50653e+06	0	
27	0.0134332	4.72717e-06	0.0134285	0	556975	196	556779	0	
28	0.0792003	1.89086e-05	0.0791814	0	3.28384e+06	784	3.28305e+06	0	
29	0.107982	3.48267e-05	0.107946	1.23148e-06	4.47721e+06	1444	4.4757e+06	51.0603	
30	0.092929	2.4697e-05	0.0929035	5.85782e-07	3.85306e+06	1024	3.852e+06	24.2879	
31	17.5882	0.990662	16.5975	0	7.29252e+08	4.10752e+07	6.88176e+08	0	
32	0.124223	4.45945e-05	0.124178	0	5.1506e+06	1849	5.14874e+06	0	
33	0.0655707	1.27585e-05	0.0655568	8.50126e-07	2.71872e+06	529	2.71814e+06	35.2483	
34	0.0608391	1.06361e-05	0.0608285	0	2.52254e+06	441	2.52209e+06	0	
35	0.220044	0.000150521	0.219894	1.66216e-07	9.1236e+06	6241	9.11734e+06	6.89173	
36	0.108989	3.48267e-05	0.108954	0	4.51898e+06	1444	4.51753e+06	0	
37	0.0733995	1.63039e-05	0.0733831	0	3.04332e+06	676	3.04264e+06	0	
38	0.0320266	2.9183e-06	0.0319955	2.79014e-05	1.3279e+06	121	1.32661e+06	1156.86	
39	0.147192	0.000632958	0.146559	0	6.10295e+06	26244	6.0767e+06	0	
40	0.0348873	3.47302e-06	0.0348789	4.67656e-06	1.44651e+06	144	1.44616e+06	193.901	
41	0.0346697	3.47302e-06	0.034664	1.95873e-06	1.43749e+06	144	1.43725e+06	81.2139	
42	0.046205	6.17426e-06	0.0461988	0	1.91577e+06	256	1.91551e+06	0	
43	0.0487128	6.97016e-06	0.0486747	3.09392e-05	2.01975e+06	289	2.01817e+06	1282.81	
44	0.0978347	2.95448e-05	0.0978031	1.78969e-06	4.05646e+06	1225	4.05515e+06	74.2051	
45	0.0121991	4.07597e-06	0.012195	0	505806	169	505637	0	
46	0.0468566	6.97016e-06	0.0467611	8.82345e-05	1.94278e+06	289	1.93883e+06	3658.42	
47	0.0391008	5.42659e-06	0.0390857	9.43614e-06	1.62121e+06	225	1.62058e+06	391.245	
48	0.0286762	2.9183e-06	0.0286662	6.81849e-06	1.18898e+06	121	1.18857e+06	282.711	
49	0.049199	6.97016e-06	0.0491921	0	2.03991e+06	289	2.03962e+06	0	
50	0.0314636	3.47302e-06	0.0314598	4.29704e-08	1.30455e+06	144	1.3044e+06	1.78166	
51	0.0361046	4.07597e-06	0.0361006	0	1.49698e+06	169	1.49681e+06	0	
52	0.0217306	1.63039e-05	0.0217143	0	901004	676	900328	0	
53	0.0238885	1.63039e-05	0.0238722	0	990479	676	989803	0	
54	0.143447	6.27314e-05	0.143381	3.33799e-06	5.94768e+06	2601	5.94493e+06	138.401	
55	0.0610158	1.27585e-05	0.0610027	9.4755e-08	2.52986e+06	529	2.52932e+06	3.92877	
56	0.138212	6.52156e-05	0.138145	2.15821e-06	5.73064e+06	2704	5.72784e+06	89.4848	
57	0.0661608	1.50738e-05	0.0661457	0	2.74319e+06	625	2.74256e+06	0	
58	0.0808233	2.02834e-05	0.0807996	3.07111e-06	3.35113e+06	841	3.35015e+06	127.336	
59	0.0503713	8.70667e-06	0.0503623	4.54541e-08	2.08852e+06	361	2.08814e+06	1.88464	
60	0.208921	0.000146735	0.208763	1.04684e-05	8.66239e+06	6084	8.65586e+06	434.047	
61	0.0346567	4.07597e-06	0.0346518	4.84681e-07	1.43695e+06	169	1.43675e+06	20.096	
62	0.037184	4.07597e-06	0.0370677	0.000111868	1.54173e+06	169	1.53692e+06	4638.33	
63	0.0373074	4.72717e-06	0.0373024	4.43626e-08	1.54685e+06	196	1.54665e+06	1.83938	
64	5.83131	0.107682	5.72353	0.000100834	2.4178e+08	4.46476e+06	2.37311e+08	4180.83	
65	0.115697	4.05427e-05	0.115636	2.05463e-05	4.7971e+06	1681	4.79456e+06	851.903	
66	0.0549717	9.64728e-06	0.0549609	9.66436e-07	2.27926e+06	400	2.27881e+06	40.0707	
67	0.0848067	2.17063e-05	0.084785	0	3.51629e+06	900	3.51539e+06	0	
68	0.0106596	4.07597e-06	0.0106555	0	441973	169	441804	0	
69	0.118276	4.25445e-05	0.118233	0	4.90402e+06	1764	4.90226e+06	0	
70	0.368342	0.000640796	0.36767	3.09738e-05	1.52723e+07	26569	1.52445e+07	1284.25	
71	0.0372003	4.07597e-06	0.0371168	7.91105e-05	1.54241e+06	169	1.53895e+06	3280.11	
72	0.0475506	6.97016e-06	0.0475322	1.11815e-05	1.97156e+06	289	1.9708e+06	463.612	
73	0.117914	4.66928e-05	0.117867	0	4.889e+06	1936	4.88707e+06	0	
74	0.194714	0.000125028	0.194582	6.31774e-06	8.07331e+06	5184	8.06786e+06	261.949	
75	0.0437048	6.97016e-06	0.0436978	0	1.8121e+06	289	1.81181e+06	0	
76	0.14281	6.7748e-05	0.142741	7.29721e-07	5.92125e+06	2809	5.9184e+06	30.256	
77	0.0357973	4.07597e-06	0.0357854	7.61463e-06	1.48424e+06	169	1.48375e+06	315.721	
78	0.298792	0.000281314	0.298483	2.76761e-05	1.23886e+07	11664	1.23758e+07	1147.51	
79	0.0552728	1.06361e-05	0.0552602	1.75517e-06	2.29174e+06	441	2.29122e+06	72.7737	
80	0.0357131	4.72717e-06	0.0357084	0	1.48075e+06	196	1.48055e+06	0	
81	0.0827604	2.02834e-05	0.0827402	0	3.43145e+06	841	3.43061e+06	0	
82	0.0357987	4.72717e-06	0.035793	6.66221e-07	1.4843e+06	196	1.48406e+06	27.6231	
83	0.035466	4.07597e-06	0.0354615	1.28687e-07	1.4705e+06	169	1.47032e+06	5.3357	
84	0.160688	8.68255e-05	0.1606	6.75933e-07	6.66251e+06	3600	6.65888e+06	28.0258	
85	0.316625	0.000370841	0.316254	0	1.3128e+07	15376	1.31126e+07	0	
86	0.0820337	2.4697e-05	0.0820076	1.17102e-06	3.40132e+06	1024	3.40023e+06	48.5536	
87	0.0890233	2.62647e-05	0.0889962	6.2027e-07	3.69112e+06	1089	3.68999e+06	25.7179	
88	9.63414	0.326796	9.30734	0	3.99455e+08	1.35497e+07	3.85905e+08	0	
89	0.0672641	2.17063e-05	0.0672424	0	2.78893e+06	900	2.78803e+06	0	
90	0.0383891	4.72717e-06	0.0383839	2.19682e-07	1.5917e+06	196	1.59149e+06	9.10859	
91	0.0822807	2.31776e-05	0.0822575	0	3.41156e+06	961	3.41059e+06	0	
92	0.0327622	3.47302e-06	0.0327529	5.57738e-06	1.3584e+06	144	1.35801e+06	231.251	
93	0.0004728	2.9183e-06	0.000469882	0	19603.4	121	19482.4	0	
94	0.571224	0.0123298	0.558894	0	2.36843e+07	511225	2.31731e+07	0	
95	0.092206	2.78806e-05	0.0921781	0	3.82308e+06	1156	3.82193e+06	0	
96	0.0360887	4.07597e-06	0.0360843	1.1252e-10	1.49632e+06	169	1.49614e+06	0.00466537	
97	0.0711917	1.50738e-05	0.0711524	2.40039e-05	2.95178e+06	625	2.95015e+06	995.262	
98	1.70095	0.0103473	1.69059	1.38338e-05	7.05256e+07	429025	7.0096e+07	573.585	
99	0.0448509	6.97016e-06	0.0448405	3.17937e-06	1.85963e+06	289	1.85919e+06	131.824	
100	0.0340635	3.47302e-06	0.03406	0	1.41235e+06	144	1.41221e+06	0	
101	0.0452602	9.64728e-06	0.0452473	2.96367e-06	1.8766e+06	400	1.87606e+06	122.881	
102	0.0576488	1.06361e-05	0.0576352	2.6305e-06	2.39026e+06	441	2.3897e+06	109.067	
103	0.205135	0.000128525	0.204791	0.000214839	8.50542e+06	5329	8.49117e+06	8907.77	
104	0.269359	0.000217666	0.269142	0	1.11683e+07	9025	1.11592e+07	0	
105	0.061562	1.3892e-05	0.0615383	9.50529e-06	2.55251e+06	576	2.55153e+06	394.112	
106	0.142181	6.7748e-05	0.142113	7.74142e-07	5.8952e+06	2809	5.89235e+06	32.0978	
107	0.0377174	4.72717e-06	0.0377126	0	1.56385e+06	196	1.56365e+06	0	
108	0.0973057	2.95448e-05	0.0972761	0	4.03453e+06	1225	4.0333e+06	0	
109	0.0750445	1.75821e-05	0.075008	1.85953e-05	3.11152e+06	729	3.11001e+06	771.009	
110	0.169022	8.97438e-05	0.168932	0	7.00807e+06	3721	7.00435e+06	0	
111	0.0289732	2.9183e-06	0.0289697	2.79415e-07	1.2013e+06	121	1.20115e+06	11.5852	
112	0.0130557	6.97016e-06	0.0130487	0	541322	289	541033	0	
113	0.0364821	4.07597e-06	0.0364736	4.16667e-06	1.51263e+06	169	1.51228e+06	172.76	
114	0.515412	0.00133192	0.51408	0	2.13702e+07	55225	2.1315e+07	0	
115	0.0244895	2.9183e-06	0.0244854	9.09613e-07	1.01539e+06	121	1.01522e+06	37.7147	
116	0.156274	0.000118179	0.156131	2.40277e-05	6.4795e+06	4900	6.4736e+06	996.247	
117	0.0645009	1.63039e-05	0.0644846	0	2.67436e+06	676	2.67369e+06	0	
118	0.0590455	1.16732e-05	0.0590223	1.12926e-05	2.44817e+06	484	2.4472e+06	468.22	
119	0.113714	4.25445e-05	0.113669	1.80117e-06	4.71487e+06	1764	4.71302e+06	74.6812	
120	0.0582839	1.06361e-05	0.0582721	8.42339e-07	2.41659e+06	441	2.4161e+06	34.9254	
121	0.0667584	2.4697e-05	0.0667288	4.66731e-06	2.76796e+06	1024	2.76674e+06	193.518	
122	0.0393399	4.72717e-06	0.0393352	0	1.63113e+06	196	1.63093e+06	0	
123	0.0291561	2.9183e-06	0.0291526	3.43032e-07	1.20888e+06	121	1.20873e+06	14.2229	
124	0.210552	0.000135664	0.210338	7.83345e-05	8.73003e+06	5625	8.72114e+06	3247.94	
125	0.0331205	4.07597e-06	0.0331164	0	1.37325e+06	169	1.37308e+06	0	
126	0.05866	1.63039e-05	0.0586426	8.48149e-07	2.43218e+06	676	2.43146e+06	35.1663	
127	2.90021	0.030851	2.86935	1.77974e-06	1.20249e+08	1.27916e+06	1.1897e+08	73.7923	
128	0.154441	7.56347e-05	0.154361	3.57089e-06	6.4035e+06	3136	6.40021e+06	148.058	
129	0.068743	2.31776e-05	0.0687198	0	2.85025e+06	961	2.84929e+06	0	
130	0.130847	5.32771e-05	0.130748	4.54541e-05	5.42524e+06	2209	5.42113e+06	1884.63	
131	0.0292488	2.9183e-06	0.0292443	1.26452e-06	1.21272e+06	121	1.21254e+06	52.4304	
132	0.102599	3.66838e-05	0.102554	7.96131e-06	4.25401e+06	1521	4.25215e+06	330.095	
133	0.0318169	3.47302e-06	0.0318117	1.44432e-06	1.3192e+06	144	1.31899e+06	59.8853	
134	0.0360676	4.72717e-06	0.0360622	4.37589e-07	1.49545e+06	196	1.49522e+06	18.1435	
135	1.00769	0.00512554	1.00257	0	4.17815e+07	212517	4.1569e+07	0	
136	0.0486356	7.8143e-06	0.0486238	3.76749e-06	2.01655e+06	324	2.01606e+06	156.209	
137	0.0510804	1.27585e-05	0.0510671	3.19352e-07	2.11792e+06	529	2.11736e+06	13.2411	
138	0.0634817	1.89086e-05	0.0634627	0	2.6321e+06	784	2.63132e+06	0	
139	0.525128	0.00136615	0.523762	0	2.17731e+07	56644	2.17164e+07	0	
140	0.144993	7.03287e-05	0.144922	8.31446e-07	6.0118e+06	2916	6.00884e+06	34.4737	
141	0.0486128	7.8143e-06	0.048605	0	2.0156e+06	324	2.01528e+06	0	
142	0.0335525	4.07597e-06	0.0335464	1.7549e-06	1.39116e+06	169	1.39091e+06	72.7625	
143	0.0161865	7.8143e-06	0.0161787	0	671135	324	670811	0	
144	0.0342806	4.07597e-06	0.0342763	0	1.42136e+06	169	1.42118e+06	0	
145	0.0516698	8.70667e-06	0.0515374	0.00012335	2.14235e+06	361	2.13687e+06	5114.39	
146	0.0474873	1.16732e-05	0.047473	2.37162e-06	1.96894e+06	484	1.96834e+06	98.3332	
