Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	
1	0.0335712	1.94866e-05	0.0335517	0	1.2559e+06	729	1.25518e+06	0	
2	0.0188535	7.22796e-05	0.0187812	0	705315	2704	702611	0	
3	0.0358899	2.09568e-05	0.0358689	0	1.34265e+06	784	1.34186e+06	0	
4	0.0356311	2.40575e-05	0.0356071	0	1.33297e+06	900	1.33207e+06	0	
5	0.0305606	1.41405e-05	0.0305464	0	1.14328e+06	529	1.14275e+06	0	
6	0.0101833	1.53968e-05	0.0101679	0	380963	576	380387	0	
7	0.17109	0.000458724	0.170632	0	6.40055e+06	17161	6.38339e+06	0	
8	0.0517652	4.06573e-05	0.0517245	0	1.93654e+06	1521	1.93502e+06	0	
9	0.158755	0.000397858	0.158357	0	5.93908e+06	14884	5.9242e+06	0	
10	0.0318073	1.53968e-05	0.0317919	0	1.18992e+06	576	1.18934e+06	0	
11	0.0699736	7.50863e-05	0.0698985	0	2.61773e+06	2809	2.61492e+06	0	
12	0.0579865	4.94249e-05	0.057937	0	2.16929e+06	1849	2.16744e+06	0	
13	0.0777549	9.30493e-05	0.0776619	0	2.90883e+06	3481	2.90535e+06	0	
14	0.0399246	2.40575e-05	0.0399005	0	1.49359e+06	900	1.49269e+06	0	
15	0.679786	0.0123239	0.667462	0	2.54309e+07	461041	2.49699e+07	0	
16	0.0383287	2.24804e-05	0.0383063	0	1.43388e+06	841	1.43304e+06	0	
17	0.0188252	3.09006e-05	0.0187943	0	704258	1156	703102	0	
18	0.0466005	3.09006e-05	0.0465696	0	1.74333e+06	1156	1.74218e+06	0	
19	0.0607601	6.95263e-05	0.0606906	0	2.27305e+06	2601	2.27045e+06	0	
20	0.0329998	2.40575e-05	0.0329757	0	1.23453e+06	900	1.23363e+06	0	
21	0.0471513	2.73721e-05	0.047124	0	1.76394e+06	1024	1.76292e+06	0	
22	0.0387967	1.94866e-05	0.0387772	0	1.45139e+06	729	1.45066e+06	0	
23	0.032795	1.41405e-05	0.0327808	0	1.22687e+06	529	1.22634e+06	0	
24	1.54691	0.0298082	1.5171	0	5.78704e+07	1.11513e+06	5.67553e+07	0	
25	0.0171445	1.41405e-05	0.0171304	0	641383	529	640854	0	
26	0.0375602	1.67066e-05	0.0375435	0	1.40513e+06	625	1.40451e+06	0	
27	0.0533252	4.49342e-05	0.0532802	0	1.9949e+06	1681	1.99322e+06	0	
28	0.0389111	1.80699e-05	0.038893	0	1.45567e+06	676	1.45499e+06	0	
29	0.26222	0.00130555	0.260914	0	9.80973e+06	48841	9.76089e+06	0	
30	0.0948039	0.000109488	0.0946944	0	3.54663e+06	4096	3.54254e+06	0	
31	0.069359	5.41295e-05	0.0693049	0	2.59474e+06	2025	2.59271e+06	0	
32	0.0378063	1.67066e-05	0.0377896	0	1.41434e+06	625	1.41371e+06	0	
33	0.0072785	1.41405e-05	0.00726436	0	272290	529	271761	0	
34	0.248845	0.000684304	0.248161	0	9.30937e+06	25600	9.28377e+06	0	
35	0.0593743	4.06573e-05	0.0593337	0	2.22121e+06	1521	2.21969e+06	0	
36	0.401748	0.00186301	0.399885	0	1.50295e+07	69696	1.49598e+07	0	
37	5.45861	0.331579	5.12703	7.93969e-09	2.04208e+08	1.24044e+07	1.91803e+08	0.297026	
38	0.0704415	4.94249e-05	0.070392	0	2.63523e+06	1849	2.63338e+06	0	
39	0.0574207	3.2745e-05	0.0573879	0	2.14812e+06	1225	2.14689e+06	0	
40	0.422418	0.00189135	0.420527	0	1.58027e+07	70756	1.5732e+07	0	
41	0.0707816	0.000158485	0.0706231	0	2.64795e+06	5929	2.64203e+06	0	
42	0.036756	1.94866e-05	0.0367365	0	1.37505e+06	729	1.37432e+06	0	
43	0.138036	0.000226248	0.13781	0	5.16398e+06	8464	5.15551e+06	0	
44	0.272602	0.000846933	0.271755	0	1.01981e+07	31684	1.01664e+07	0	
45	0.138583	0.000267306	0.138316	0	5.18445e+06	10000	5.17445e+06	0	
46	0.11155	0.000123602	0.111426	0	4.17312e+06	4624	4.1685e+06	0	
47	0.0763731	6.15873e-05	0.0763115	0	2.85713e+06	2304	2.85483e+06	0	
48	0.0270758	2.56881e-05	0.0270502	0	1.01291e+06	961	1.01195e+06	0	
49	0.0379361	1.53968e-05	0.0379207	0	1.4192e+06	576	1.41862e+06	0	
50	0.22534	0.000554286	0.224786	0	8.43006e+06	20736	8.40932e+06	0	
51	0.0445003	2.09568e-05	0.0444794	0	1.66477e+06	784	1.66398e+06	0	
52	0.0828702	7.79465e-05	0.0827922	0	3.10019e+06	2916	3.09728e+06	0	
53	0.0619137	3.65942e-05	0.0618771	0	2.3162e+06	1369	2.31484e+06	0	
54	0.0415939	1.80699e-05	0.0415758	0	1.55604e+06	676	1.55536e+06	0	
55	0.109339	0.000116438	0.109223	0	4.09042e+06	4356	4.08606e+06	0	
56	0.243908	0.000617584	0.24329	0	9.12466e+06	23104	9.10156e+06	0	
57	0.0446898	1.94866e-05	0.0446703	0	1.67185e+06	729	1.67113e+06	0	
58	0.450059	0.00196312	0.448096	0	1.68368e+07	73441	1.67634e+07	0	
59	0.0480242	2.24804e-05	0.0480017	0	1.7966e+06	841	1.79575e+06	0	
60	0.0520685	2.56881e-05	0.0520428	0	1.94789e+06	961	1.94693e+06	0	
61	0.211322	0.000451747	0.210871	0	7.90564e+06	16900	7.88874e+06	0	
62	0.0640653	4.06573e-05	0.0640246	0	2.3967e+06	1521	2.39517e+06	0	
63	0.051421	2.91096e-05	0.0513919	0	1.92367e+06	1089	1.92258e+06	0	
64	0.0668229	4.71528e-05	0.0667757	0	2.49986e+06	1764	2.49809e+06	0	
65	0.0250585	2.91096e-05	0.0250294	0	937445	1089	936356	0	
66	0.020631	1.94866e-05	0.0206115	0	771813	729	771084	0	
67	0.064735	5.41295e-05	0.0646808	0	2.42175e+06	2025	2.41972e+06	0	
68	0.0711435	0.000102752	0.0710407	0	2.66149e+06	3844	2.65765e+06	0	
69	0.042537	1.80699e-05	0.0425189	0	1.59132e+06	676	1.59064e+06	0	
70	0.0528156	2.73721e-05	0.0527882	0	1.97584e+06	1024	1.97482e+06	0	
71	0.0377544	1.41405e-05	0.0377403	0	1.4124e+06	529	1.41187e+06	0	
72	0.0214767	1.67066e-05	0.02146	0	803449	625	802824	0	
73	0.0897177	8.08601e-05	0.0896368	0	3.35636e+06	3025	3.35333e+06	0	
74	0.0505201	2.56881e-05	0.0504944	0	1.88997e+06	961	1.889e+06	0	
75	0.0475051	2.73721e-05	0.0474777	0	1.77717e+06	1024	1.77615e+06	0	
76	0.041293	2.09568e-05	0.041272	0	1.54478e+06	784	1.54399e+06	0	
77	0.0632588	4.94249e-05	0.0632094	0	2.36653e+06	1849	2.36468e+06	0	
78	5.22317	0.27355	4.94962	0	1.954e+08	1.02336e+07	1.85166e+08	0	
79	0.00678515	3.65942e-05	0.00674855	0	253834	1369	252465	0	
80	0.0481361	2.73721e-05	0.0481087	0	1.80078e+06	1024	1.79976e+06	0	
81	0.068161	5.41295e-05	0.0681069	0	2.54992e+06	2025	2.54789e+06	0	
