Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	
1	0.0397097	1.55649e-05	0.0396941	0	1.85984e+06	729	1.85911e+06	0	
2	0.0372294	1.33444e-05	0.0372161	0	1.74367e+06	625	1.74305e+06	0	
3	0.0199489	4.18482e-06	0.0199447	0	934328	196	934132	0	
4	0.0373749	1.33444e-05	0.0373615	0	1.75048e+06	625	1.74986e+06	0	
5	0.0209403	4.18482e-06	0.0209362	0	980762	196	980566	0	
6	0.0418911	4.3236e-05	0.0418478	0	1.962e+06	2025	1.95998e+06	0	
7	0.0319018	2.46819e-05	0.0318771	0	1.49415e+06	1156	1.49299e+06	0	
8	0.025517	6.17047e-06	0.0255108	0	1.19511e+06	289	1.19482e+06	0	
9	0.0300802	8.54045e-06	0.0300716	0	1.40883e+06	400	1.40843e+06	0	
10	0.00996452	2.58348e-06	0.00996194	0	466697	121	466576	0	
11	1.92008	0.0335214	1.88655	3.50351e-08	8.99287e+07	1.57e+06	8.83587e+07	1.6409	
12	0.0569355	3.0831e-05	0.0569047	0	2.66663e+06	1444	2.66518e+06	0	
13	0.0600062	3.76633e-05	0.0599685	0	2.81044e+06	1764	2.80868e+06	0	
14	0.0233176	5.46588e-06	0.0233121	0	1.0921e+06	256	1.09184e+06	0	
15	0.224389	0.000499808	0.223889	0	1.05095e+07	23409	1.0486e+07	0	
16	0.0214847	4.804e-06	0.0214799	0	1.00625e+06	225	1.00603e+06	0	
17	0.0276349	7.70775e-06	0.0276272	0	1.2943e+06	361	1.29394e+06	0	
18	0.0172606	6.17047e-06	0.0172545	0	808420	289	808131	0	
19	0.0259741	6.91776e-06	0.0259672	0	1.21652e+06	324	1.21619e+06	0	
20	0.0416542	1.79563e-05	0.0416362	0	1.95091e+06	841	1.95007e+06	0	
21	0.071534	5.1264e-05	0.0714827	0	3.35036e+06	2401	3.34796e+06	0	
22	0.0182145	3.07456e-06	0.0182114	0	853095	144	852951	0	
23	0.147726	0.000553442	0.147172	0	6.9189e+06	25921	6.89298e+06	0	
24	0.0160455	2.58348e-06	0.0160429	0	751509	121	751388	0	
25	0.0297111	8.54045e-06	0.0297026	0	1.39155e+06	400	1.39115e+06	0	
26	0.0270552	6.91776e-06	0.0270483	0	1.26715e+06	324	1.26683e+06	0	
27	0.0572711	3.0831e-05	0.0572403	0	2.68234e+06	1444	2.6809e+06	0	
28	0.0303979	8.54045e-06	0.0303893	0	1.42371e+06	400	1.42331e+06	0	
29	0.0931207	7.94475e-05	0.0930413	0	4.36139e+06	3721	4.35767e+06	0	
30	0.0243902	5.46588e-06	0.0243847	0	1.14233e+06	256	1.14208e+06	0	
31	0.0928584	7.94475e-05	0.092779	0	4.34911e+06	3721	4.34539e+06	0	
32	0.0244005	5.46588e-06	0.024395	0	1.14282e+06	256	1.14256e+06	0	
33	0.0194604	3.60834e-06	0.0194568	0	911447	169	911278	0	
34	0.0267848	6.91776e-06	0.0267779	0	1.25449e+06	324	1.25416e+06	0	
35	0.0207236	4.18482e-06	0.0207194	0	970611	196	970415	0	
36	0.0170069	2.58348e-06	0.0170043	0	796535	121	796414	0	
37	0.0224859	5.46588e-06	0.0224804	0	1.05314e+06	256	1.05289e+06	0	
38	0.022355	4.804e-06	0.0223501	0	1.04701e+06	225	1.04679e+06	0	
39	0.0448905	1.79563e-05	0.0448725	0	2.10248e+06	841	2.10164e+06	0	
40	0.0244162	5.46588e-06	0.0244108	0	1.14355e+06	256	1.1433e+06	0	
41	0.122209	0.000143565	0.122065	0	5.72378e+06	6724	5.71705e+06	0	
42	0.0382784	1.55649e-05	0.0382628	0	1.7928e+06	729	1.79207e+06	0	
43	0.132191	0.000161606	0.132029	0	6.1913e+06	7569	6.18373e+06	0	
44	0.00171635	2.58348e-06	0.00171376	0	80387	121	80266	0	
45	0.173208	0.000282368	0.172926	0	8.11237e+06	13225	8.09915e+06	0	
46	0.164861	0.000258348	0.164603	0	7.72145e+06	12100	7.70935e+06	0	
47	0.0252458	6.17047e-06	0.0252396	0	1.18241e+06	289	1.18212e+06	0	
48	0.0199898	3.60834e-06	0.0199862	0	936244	169	936075	0	
49	0.051897	2.61551e-05	0.0518708	0	2.43064e+06	1225	2.42942e+06	0	
50	0.0176352	3.07456e-06	0.0176321	0	825962	144	825818	0	
51	0.0302187	8.54045e-06	0.0302102	0	1.41532e+06	400	1.41492e+06	0	
52	0.0349145	1.12947e-05	0.0349032	0	1.63525e+06	529	1.63472e+06	0	
53	0.127563	0.000154261	0.127409	0	5.97456e+06	7225	5.96733e+06	0	
54	0.0190584	3.60834e-06	0.0190548	0	892618	169	892449	0	
55	0.0163575	2.58348e-06	0.0163549	0	766121	121	766000	0	
56	0.0240985	1.55649e-05	0.0240829	0	1.12867e+06	729	1.12794e+06	0	
57	0.0619095	3.58912e-05	0.0618736	0	2.89959e+06	1681	2.89791e+06	0	
58	0.0223107	4.804e-06	0.0223059	0	1.04494e+06	225	1.04471e+06	0	
59	0.020459	4.18482e-06	0.0204548	0	958219	196	958023	0	
60	0.0182535	3.07456e-06	0.0182505	0	854924	144	854780	0	
61	0.0378498	1.33444e-05	0.0378364	0	1.77273e+06	625	1.7721e+06	0	
62	0.0474728	2.05184e-05	0.0474523	0	2.22343e+06	961	2.22247e+06	0	
63	0.0184077	3.07456e-06	0.0184046	0	862142	144	861998	0	
64	0.0194139	3.60834e-06	0.0194103	0	909268	169	909099	0	
65	0.0228657	4.804e-06	0.0228609	0	1.07094e+06	225	1.07071e+06	0	
66	0.16861	0.000272632	0.168338	0	7.89703e+06	12769	7.88426e+06	0	
67	0.0447971	1.79563e-05	0.0447791	0	2.09811e+06	841	2.09727e+06	0	
68	0.0203168	4.18482e-06	0.0203126	0	951556	196	951360	0	
69	0.0124014	4.18482e-06	0.0123973	0	580835	196	580639	0	
70	0.0507059	2.46819e-05	0.0506812	0	2.37485e+06	1156	2.3737e+06	0	
71	0.0218138	4.804e-06	0.021809	0	1.02167e+06	225	1.02144e+06	0	
72	0.0431263	1.67392e-05	0.0431096	0	2.01986e+06	784	2.01908e+06	0	
73	0.0285954	7.70775e-06	0.0285877	0	1.33929e+06	361	1.33893e+06	0	
74	0.0534072	2.61551e-05	0.053381	0	2.50137e+06	1225	2.50015e+06	0	
75	0.0375109	1.33444e-05	0.0374976	0	1.75686e+06	625	1.75623e+06	0	
76	0.0160989	2.58348e-06	0.0160964	0	754011	121	753890	0	
77	0.0151318	2.58348e-06	0.0151292	0	708715	121	708594	0	
78	0.187294	0.00040661	0.186888	0	8.77213e+06	19044	8.75308e+06	0	
79	6.23729	0.363302	5.87399	0	2.92129e+08	1.70156e+07	2.75113e+08	0	
80	0.0453671	2.32513e-05	0.0453439	0	2.12481e+06	1089	2.12372e+06	0	
81	0.0276477	8.54045e-06	0.0276391	0	1.2949e+06	400	1.2945e+06	0	
82	0.021337	6.17047e-06	0.0213308	0	999340	289	999051	0	
83	0.0176929	8.54045e-06	0.0176844	0	828665	400	828265	0	
84	0.0218043	5.46588e-06	0.0217988	0	1.02122e+06	256	1.02096e+06	0	
85	0.0266141	1.9216e-05	0.0265949	0	1.24649e+06	900	1.24559e+06	0	
86	0.0175602	4.18482e-06	0.017556	0	822449	196	822253	0	
87	0.981883	0.0108238	0.971059	0	4.59874e+07	506944	4.54804e+07	0	
88	0.0221746	5.46588e-06	0.0221691	0	1.03857e+06	256	1.03831e+06	0	
89	0.0192524	3.60834e-06	0.0192488	0	901707	169	901538	0	
90	0.090457	0.000226514	0.0902305	0	4.23664e+06	10609	4.22603e+06	0	
91	0.0138805	2.58348e-06	0.0138779	0	650108	121	649987	0	
92	0.598658	0.00345042	0.595207	0	2.80387e+07	161604	2.78771e+07	0	
93	0.0343665	1.12947e-05	0.0343552	0	1.60959e+06	529	1.60906e+06	0	
94	0.0213682	6.91776e-06	0.0213613	0	1.0008e+06	324	1.00047e+06	0	
95	0.188741	0.000349816	0.188391	0	8.83986e+06	16384	8.82348e+06	0	
96	0.110356	0.000116918	0.110239	0	5.16865e+06	5476	5.16317e+06	0	
97	0.0152863	3.07456e-06	0.0152833	0	715952	144	715808	0	
98	0.015996	2.58348e-06	0.0159934	0	749188	121	749067	0	
