Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	
1	0.170611	0.0004981	0.170113	6.69476e-07	1.48189e+07	43264	1.47757e+07	58.1493	
2	33.0824	9.80976	23.2726	4.23895e-07	2.87347e+09	8.52056e+08	2.02141e+09	36.8186	
3	0.0871853	0.000134288	0.087051	6.68244e-07	7.57274e+06	11664	7.56107e+06	58.0423	
4	0.043308	3.61049e-05	0.0432719	6.7002e-07	3.76164e+06	3136	3.75851e+06	58.1966	
5	0.0973992	0.000163036	0.0972361	6.72419e-07	8.45989e+06	14161	8.44573e+06	58.4049	
6	0.0770726	9.95763e-05	0.076973	6.68684e-07	6.69437e+06	8649	6.68572e+06	58.0805	
7	0.680346	0.00787411	0.672472	6.71768e-07	5.90935e+07	683929	5.84095e+07	58.3484	
8	0.04262	2.99454e-05	0.0425901	6.69989e-07	3.70188e+06	2601	3.69928e+06	58.1938	
9	0.0414626	3.11312e-05	0.0414315	6.70602e-07	3.60135e+06	2704	3.59865e+06	58.2471	
10	0.121545	0.000255601	0.121289	6.68243e-07	1.05571e+07	22201	1.05349e+07	58.0422	
11	0.0549859	6.82608e-05	0.0549176	6.7124e-07	4.77596e+06	5929	4.77003e+06	58.3025	
12	0.0615814	7.74137e-05	0.061504	6.70564e-07	5.34884e+06	6724	5.34211e+06	58.2438	
13	0.0846954	0.000126931	0.0845685	6.69579e-07	7.35647e+06	11025	7.34545e+06	58.1582	
14	0.048114	5.1682e-05	0.0480623	6.70344e-07	4.17908e+06	4489	4.17459e+06	58.2247	
15	0.0956105	0.000163036	0.0954475	6.68149e-07	8.30453e+06	14161	8.29037e+06	58.0341	
16	0.116923	0.00023543	0.116688	6.70897e-07	1.01557e+07	20449	1.01352e+07	58.2727	
17	0.0554191	5.1682e-05	0.0553674	6.7052e-07	4.81359e+06	4489	4.8091e+06	58.24	
18	0.0744577	9.74464e-05	0.0743603	6.69554e-07	6.46724e+06	8464	6.45878e+06	58.1561	
19	0.0999997	0.000182781	0.0998169	6.70472e-07	8.68577e+06	15876	8.66989e+06	58.2358	
20	0.0895754	0.00014701	0.0894284	6.71306e-07	7.78034e+06	12769	7.76757e+06	58.3083	
21	0.138311	0.000280181	0.138031	6.69616e-07	1.20134e+07	24336	1.19891e+07	58.1615	
22	0.0480317	3.87299e-05	0.0479929	6.7026e-07	4.17193e+06	3364	4.16857e+06	58.2174	
23	0.125799	0.000402599	0.125397	6.70405e-07	1.09267e+07	34969	1.08917e+07	58.23	
24	0.0955928	0.00017418	0.0954186	6.6975e-07	8.30299e+06	15129	8.28787e+06	58.1731	
25	0.499655	0.00588575	0.493769	6.89435e-07	4.3399e+07	511225	4.28877e+07	59.8829	
26	0.119605	0.000262509	0.119343	6.70755e-07	1.03886e+07	22801	1.03658e+07	58.2603	
27	0.0471264	4.42561e-05	0.0470821	6.69673e-07	4.0933e+06	3844	4.08946e+06	58.1664	
28	0.0510405	4.86426e-05	0.0509919	6.70691e-07	4.43327e+06	4225	4.42905e+06	58.2549	
29	0.0472106	5.01508e-05	0.0471605	6.70985e-07	4.10062e+06	4356	4.09626e+06	58.2804	
30	0.0412153	3.23401e-05	0.041183	6.70844e-07	3.57988e+06	2809	3.57707e+06	58.2681	
31	0.159197	0.000479127	0.158718	6.71327e-07	1.38275e+07	41616	1.37859e+07	58.3101	
32	0.179468	0.00058804	0.17888	6.65265e-07	1.55882e+07	51076	1.55371e+07	57.7835	
33	0.0448166	2.99454e-05	0.0447867	6.6972e-07	3.89268e+06	2601	3.89008e+06	58.1705	
34	0.0490724	5.1682e-05	0.0490208	6.70243e-07	4.26233e+06	4489	4.25784e+06	58.2159	
35	0.103153	0.000191588	0.102961	6.72534e-07	8.9597e+06	16641	8.94306e+06	58.4149	
36	0.0493143	5.32363e-05	0.049261	6.70906e-07	4.28333e+06	4624	4.27871e+06	58.2735	
37	0.0617946	7.18529e-05	0.0617227	6.69327e-07	5.36735e+06	6241	5.36111e+06	58.1364	
38	0.0173824	0.000255601	0.0171268	6.70447e-07	1.5098e+06	22201	1.4876e+06	58.2336	
39	0.045948	3.87299e-05	0.0459093	6.69446e-07	3.99095e+06	3364	3.98758e+06	58.1467	
40	0.0396031	2.87826e-05	0.0395743	6.70716e-07	3.43984e+06	2500	3.43734e+06	58.257	
41	0.046244	4.00769e-05	0.0462039	6.71148e-07	4.01666e+06	3481	4.01318e+06	58.2945	
42	0.0542858	5.96836e-05	0.0542262	6.70708e-07	4.71516e+06	5184	4.70997e+06	58.2563	
43	0.218168	0.000883385	0.217285	6.70556e-07	1.89497e+07	76729	1.88729e+07	58.2431	
44	0.0464415	4.284e-05	0.0463986	6.70646e-07	4.03381e+06	3721	4.03009e+06	58.2509	
45	0.0763905	0.000112839	0.0762777	6.68438e-07	6.63512e+06	9801	6.62532e+06	58.0591	
46	0.0540148	5.48136e-05	0.05396	6.70609e-07	4.69161e+06	4761	4.68685e+06	58.2477	
47	0.0850056	0.000136786	0.0848688	6.70447e-07	7.38341e+06	11881	7.37153e+06	58.2336	
48	0.17619	0.000679834	0.175511	6.69959e-07	1.53035e+07	59049	1.52445e+07	58.1912	
49	0.262172	0.00129977	0.260872	6.73519e-07	2.27717e+07	112896	2.26588e+07	58.5005	
50	0.112902	0.000259043	0.112643	6.6883e-07	9.80649e+06	22500	9.78399e+06	58.0931	
51	0.185761	0.000663151	0.185098	6.7049e-07	1.61348e+07	57600	1.60772e+07	58.2374	
52	0.0867357	0.000144419	0.0865913	6.69107e-07	7.53368e+06	12544	7.52114e+06	58.1173	
53	0.209585	0.000889774	0.208695	6.6702e-07	1.82041e+07	77284	1.81269e+07	57.936	
54	0.0314256	3.3572e-05	0.031392	6.70874e-07	2.72956e+06	2916	2.72665e+06	58.2707	
55	0.0335809	4.00769e-05	0.0335408	6.70279e-07	2.91676e+06	3481	2.91328e+06	58.2191	
56	0.0322609	3.74059e-05	0.0322235	6.70241e-07	2.80212e+06	3249	2.79887e+06	58.2158	
57	0.0523244	6.82608e-05	0.0522561	6.68391e-07	4.54479e+06	5929	4.53886e+06	58.0551	
58	0.0585177	4.42561e-05	0.0584734	6.70507e-07	5.08273e+06	3844	5.07888e+06	58.2389	
59	0.0223371	2.76428e-05	0.0223095	6.70245e-07	1.94016e+06	2401	1.93776e+06	58.2161	
60	0.0357447	5.80372e-05	0.0356866	6.69707e-07	3.10471e+06	5041	3.09967e+06	58.1694	
61	4.60235	0.204543	4.39781	6.63395e-07	3.99751e+08	1.77662e+07	3.81984e+08	57.6211	
62	0.0639267	3.74059e-05	0.0638892	8.18877e-07	5.55255e+06	3249	5.54928e+06	71.126	
63	0.116383	0.000139307	0.116236	8.63182e-06	1.01088e+07	12100	1.0096e+07	749.742	
64	0.0652024	3.74059e-05	0.065165	6.69926e-07	5.66334e+06	3249	5.6601e+06	58.1884	
65	1.5011	0.0112839	1.4898	1.11977e-05	1.30382e+08	980100	1.29401e+08	972.613	
66	0.270564	0.000352587	0.270211	6.69718e-07	2.35006e+07	30625	2.347e+07	58.1703	
67	0.291466	0.000428849	0.291037	6.71154e-07	2.53161e+07	37249	2.52789e+07	58.295	
68	0.0754351	2.76428e-05	0.0754056	2.52551e-06	6.55214e+06	2401	6.54958e+06	219.36	
69	0.759104	0.00271933	0.756385	6.74066e-07	6.59342e+07	236196	6.5698e+07	58.548	
70	0.0846011	3.48269e-05	0.0845663	6.71252e-07	7.34828e+06	3025	7.34525e+06	58.3035	
71	0.0928356	4.14469e-05	0.0927934	1.482e-06	8.06351e+06	3600	8.05984e+06	128.723	
72	0.124122	7.55371e-05	0.124047	6.69071e-07	1.0781e+07	6561	1.07745e+07	58.1141	
73	0.311625	0.000442285	0.311182	1.72334e-06	2.70671e+07	38416	2.70286e+07	149.686	
74	0.164155	0.000124525	0.16403	6.67842e-07	1.42582e+07	10816	1.42473e+07	58.0074	
